block,start_date,end_date,return_pct
B3_short_term_reversal,2023-03-08,2024-03-07,10.82597930094462
B3_short_term_reversal,2023-03-09,2024-03-08,13.757244837382254
B3_short_term_reversal,2023-03-10,2024-03-11,16.02144878325582
B3_short_term_reversal,2023-03-13,2024-03-12,18.303225464488705
B3_short_term_reversal,2023-03-14,2024-03-13,17.619017986695894
B3_short_term_reversal,2023-03-15,2024-03-14,16.625696337371387
B3_short_term_reversal,2023-03-16,2024-03-15,14.805217852452056
B3_short_term_reversal,2023-03-17,2024-03-18,15.652238453018285
B3_short_term_reversal,2023-03-20,2024-03-19,15.350077826025377
B3_short_term_reversal,2023-03-21,2024-03-20,12.31362150215829
B3_short_term_reversal,2023-03-22,2024-03-21,17.278259374907368
B3_short_term_reversal,2023-03-23,2024-03-22,17.68098712138384
B3_short_term_reversal,2023-03-24,2024-03-25,17.532686326894755
B3_short_term_reversal,2023-03-27,2024-03-26,15.39967704572045
B3_short_term_reversal,2023-03-28,2024-03-27,17.00853903314663
B3_short_term_reversal,2023-03-29,2024-03-28,15.312883033041459
B3_short_term_reversal,2023-03-31,2024-04-01,12.974772223225163
B3_short_term_reversal,2023-04-03,2024-04-02,10.576632938337326
B3_short_term_reversal,2023-04-04,2024-04-03,11.774888820377939
B3_short_term_reversal,2023-04-05,2024-04-04,8.835260525210487
B3_short_term_reversal,2023-04-06,2024-04-05,9.908187179091321
B3_short_term_reversal,2023-04-06,2024-04-08,10.212529052312913
B3_short_term_reversal,2023-04-10,2024-04-09,8.059706841261626
B3_short_term_reversal,2023-04-11,2024-04-10,5.7885297476393704
B3_short_term_reversal,2023-04-12,2024-04-11,7.286385606029722
B3_short_term_reversal,2023-04-13,2024-04-12,4.034562308799106
B3_short_term_reversal,2023-04-14,2024-04-15,3.142001009007922
B3_short_term_reversal,2023-04-17,2024-04-16,3.723170944809717
B3_short_term_reversal,2023-04-18,2024-04-17,3.3913162458861112
B3_short_term_reversal,2023-04-19,2024-04-18,3.517289799217771
B3_short_term_reversal,2023-04-20,2024-04-19,2.837552752847161
B3_short_term_reversal,2023-04-21,2024-04-22,3.5026865690301445
B3_short_term_reversal,2023-04-24,2024-04-23,5.715260121724652
B3_short_term_reversal,2023-04-25,2024-04-24,8.088713096024014
B3_short_term_reversal,2023-04-26,2024-04-25,9.763060306694538
B3_short_term_reversal,2023-04-27,2024-04-26,9.690161266416354
B3_short_term_reversal,2023-04-28,2024-04-29,8.580862481503026
B3_short_term_reversal,2023-05-01,2024-04-30,7.607851011393052
B3_short_term_reversal,2023-05-02,2024-05-01,9.640340878987509
B3_short_term_reversal,2023-05-03,2024-05-02,11.142832055353956
B3_short_term_reversal,2023-05-04,2024-05-03,12.885106406264502
B3_short_term_reversal,2023-05-05,2024-05-06,11.936027547703487
